date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1251676800,0.0,0.0,4.672765345185185e-06,0.0,0.0,95.0,95.0,95.0,300.0
1251763200,0.0,0.0,3.9271113007407404e-06,0.0,0.0,79.0,79.0,79.0,0.0
1251849600,0.0,0.0,3.3802983348148145e-06,0.0,0.0,68.0,68.0,68.0,0.0
1251936000,0.0,0.0,2.982616177777778e-06,0.0,0.0,61.0,61.0,61.0,700.0
1252022400,0.0,0.0,3.1317469866666666e-06,0.0,0.0,63.0,63.0,63.0,0.0
1252108800,0.0,0.0,3.529429143703703e-06,0.0,0.0,71.0,71.0,71.0,0.0
1252195200,0.0,0.0,3.579139413333334e-06,0.0,0.0,72.0,72.0,72.0,0.0
1252281600,0.0,0.0,3.877401031111112e-06,0.0,0.0,79.0,79.0,79.0,650.0
1252368000,0.0,0.0,3.2808777955555556e-06,0.0,0.0,66.0,66.0,66.0,0.0
1252454400,0.0,0.0,2.883195638518519e-06,0.0,0.0,58.0,58.0,58.0,0.0
1252540800,0.0,0.0,3.032326447407407e-06,0.0,0.0,61.0,61.0,61.0,0.0
1252627200,0.0,0.0,3.3802983348148145e-06,0.0,0.0,68.0,68.0,68.0,0.0
1252713600,0.0,0.0,3.529429143703703e-06,0.0,0.0,71.0,71.0,71.0,0.0
1252800000,0.0,0.0,3.479718874074074e-06,0.0,0.0,70.0,70.0,70.0,0.0
1252886400,0.0,0.0,4.02653184e-06,0.0,0.0,81.0,81.0,81.0,0.0
1252972800,0.0,0.0,2.7837750992592593e-06,0.0,0.0,56.0,56.0,56.0,0.0
1253059200,0.0,0.0,2.883195638518519e-06,0.0,0.0,59.0,59.0,59.0,1.0
1253145600,0.0,0.0,4.125952379259259e-06,0.0,0.12,85.0,84.0,84.0,5000.0
1253232000,0.0,0.0,4.02653184e-06,0.0,0.0,81.0,81.0,81.0,0.0
1253318400,0.0,0.0,3.529429143703703e-06,0.0,0.0,71.0,71.0,71.0,0.0
1253404800,0.0,0.0,3.9271113007407404e-06,0.0,0.0,79.0,79.0,79.0,0.0
1253491200,0.0,0.0,3.6785599525925925e-06,0.0,0.0,74.0,74.0,74.0,0.0
1253577600,0.0,0.0,1.6901491674074073e-06,0.0,0.0,35.0,35.0,35.0,400.0
1253664000,0.0,0.0,1.3421772800000002e-06,0.0,0.0,28.0,28.0,28.0,2000.0
1253750400,0.0,0.0,4.07624210962963e-06,0.0,0.0,82.0,82.0,82.0,0.0
